Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe Coating,Internal Pressure (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,125,Parallel,12.5,488.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,125,Perpendicular,16.67,651.9,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,130,Parallel,13.0,508.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,130,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,140,Parallel,14.0,547.6,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,140,Perpendicular,18.67,730.13,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,110,Parallel,11.0,430.25,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,110,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,120,Parallel,12.0,469.37,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,120,Perpendicular,16.0,625.82,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,125,Parallel,12.5,488.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,125,Perpendicular,16.67,651.9,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,130,Parallel,13.0,508.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,130,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,140,Parallel,14.0,547.6,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,200,140,Perpendicular,18.67,730.13,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,110,Parallel,11.24,439.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,110,Perpendicular,15.16,592.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,120,Parallel,12.27,479.8,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,120,Perpendicular,16.53,646.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,125,Parallel,12.78,499.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,125,Perpendicular,17.22,673.63,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,130,Parallel,13.29,519.78,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,130,Perpendicular,17.91,700.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,140,Parallel,14.31,559.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,0,140,Perpendicular,19.29,754.46,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,110,Parallel,11.24,439.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,110,Perpendicular,15.16,592.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,120,Parallel,12.27,479.8,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,120,Perpendicular,16.53,646.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,125,Parallel,12.78,499.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,125,Perpendicular,17.22,673.63,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,130,Parallel,13.29,519.78,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,130,Perpendicular,17.91,700.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,140,Parallel,14.31,559.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,50,140,Perpendicular,19.29,754.46,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,110,Parallel,11.24,439.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,110,Perpendicular,15.16,592.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,120,Parallel,12.27,479.8,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,120,Perpendicular,16.53,646.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,125,Parallel,12.78,499.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,125,Perpendicular,17.22,673.63,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,130,Parallel,13.29,519.78,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,130,Perpendicular,17.91,700.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,140,Parallel,14.31,559.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,100,140,Perpendicular,19.29,754.46,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,110,Parallel,11.24,439.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,110,Perpendicular,15.16,592.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,120,Parallel,12.27,479.8,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,120,Perpendicular,16.53,646.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,125,Parallel,12.78,499.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,125,Perpendicular,17.22,673.63,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,130,Parallel,13.29,519.78,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,130,Perpendicular,17.91,700.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,140,Parallel,14.31,559.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,150,140,Perpendicular,19.29,754.46,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,110,Parallel,11.24,439.81,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,110,Perpendicular,15.16,592.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,120,Parallel,12.27,479.8,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,120,Perpendicular,16.53,646.68,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,125,Parallel,12.78,499.79,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,125,Perpendicular,17.22,673.63,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,130,Parallel,13.29,519.78,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,130,Perpendicular,17.91,700.57,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,140,Parallel,14.31,559.76,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,32,200,140,Perpendicular,19.29,754.46,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,110,Parallel,11.61,454.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,110,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,120,Parallel,12.67,495.44,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,120,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,125,Parallel,13.19,516.09,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,125,Perpendicular,18.06,706.22,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,130,Parallel,13.72,536.73,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,130,Perpendicular,18.78,734.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,140,Parallel,14.78,578.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,0,140,Perpendicular,20.22,790.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,110,Parallel,11.61,454.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,110,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,120,Parallel,12.67,495.44,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,120,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,125,Parallel,13.19,516.09,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,125,Perpendicular,18.06,706.22,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,130,Parallel,13.72,536.73,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,130,Perpendicular,18.78,734.47,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,140,Parallel,14.78,578.02,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,50,140,Perpendicular,20.22,790.97,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,110,Parallel,11.61,454.16,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,110,Perpendicular,15.89,621.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,120,Parallel,12.67,495.44,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,120,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,125,Parallel,13.19,516.09,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,35,100,125,Perpendicular,18.06,706.22,0,0.0,Exceeds
